,dates,Class M,Class S,Class I,Class P,Policy Passed,Conflict Indicator
440,1997,1,0,0,0,0,1
441,2002,1,0,0,1,0,1
442,2012,1,0,0,0,0,1
443,2014,1,0,0,0,1,1
444,2012,1,0,0,0,0,0
445,1999,1,0,0,0,0,0
446,2010,1,0,0,1,0,0
447,2011,1,0,0,0,0,1
448,2007,1,0,0,0,1,0
449,2000,1,1,0,0,0,1
450,2004,1,0,0,0,0,0
451,2011,1,0,0,0,0,1
452,2016,1,0,0,0,0,0
453,2009,1,0,0,0,0,0
454,1999,1,0,0,1,0,1
455,2001,1,0,0,0,1,0
456,2018,2,0,0,1,0,1
457,2005,1,0,0,0,0,1
458,2006,1,0,0,0,1,0
459,2007,1,0,0,0,1,0
460,2010,1,0,1,0,0,0
461,2008,1,0,0,0,0,1
462,1998,1,0,0,0,0,0
463,2004,1,0,0,1,0,1
464,2012,1,0,0,0,0,0
465,2016,1,0,0,0,0,0
466,2012,1,0,0,0,0,1
467,2016,1,0,0,0,0,1
468,2017,1,0,0,0,0,1
469,2008,1,0,0,0,0,1
470,1997,1,0,0,0,1,0
471,2006,1,0,0,0,0,1
472,2007,1,0,0,0,0,0
473,1996,1,0,0,0,0,0
474,2014,1,0,0,0,0,0
475,2018,1,0,0,0,0,1
476,2005,1,0,0,0,0,0
477,2018,1,0,0,0,0,1
478,2009,1,0,0,1,0,1
479,2008,1,0,0,0,1,1
480,1994,1,0,0,0,1,0
481,1996,1,0,0,0,1,0
482,2015,1,0,0,0,1,0
483,1996,1,0,0,0,0,0
484,2012,1,0,0,0,0,1
485,1994,1,0,0,0,0,0
486,1996,1,0,0,0,0,0
487,2002,1,0,1,0,0,1
488,1995,1,0,0,0,0,0
489,2009,1,0,0,0,0,0
490,2007,1,0,0,0,0,0
491,2011,1,0,0,0,0,0
492,2005,1,0,0,0,0,0
493,2001,1,0,0,0,0,1
494,2011,1,0,0,0,1,0
495,1994,1,0,0,0,0,0
496,2005,0,0,0,0,0,0
497,2006,1,0,0,0,0,0
498,2005,1,0,0,0,1,0
499,2006,1,0,0,0,0,1
500,2010,1,0,0,0,1,0
