,meetings,dates,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,appoint a committee,I have been authorized to make the following statement on behalf of the committee,May I take it that the draft report as corrected is adopted by the council,point of order,amendment,A paragraph-by-paragraph vote on the draft resolution,refer the matter,postpone discussion to,postpone discussion indefinitely,The meeting was suspended,the meeting is adjourned,To withdraw the draft resolution,"In conformity with the usual practice, I propose, with consent of the council, to invite those representatives to participate in discussion",It is my understanding that the security council is ready to vote on the draft resolution before it,peacekeeping,peacemaking,sanctions,The draft resolution has been adopted,The draft resolution has not been adopted
82,pdf?symbol=en%2FS%2FPV.6884,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,pdf?symbol=en%2FS%2FPV.7651,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
84,pdf?symbol=en%2FS%2FPV.5956,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,pdf?symbol=en%2FS%2FPV.7438,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,pdf?symbol=en%2FS%2FPV.8560,2019,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
87,pdf?symbol=en%2FS%2FPV.4327,2001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0
88,pdf?symbol=en%2FS%2FPV.3986,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,1,0
89,pdf?symbol=en%2FS%2FPV.4523,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
90,pdf?symbol=en%2FS%2FPV.6463,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
91,pdf?symbol=en%2FS%2FPV.6772,2012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
92,pdf?symbol=en%2FS%2FPV.3678,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,pdf?symbol=en%2FS%2FPV.5572,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,pdf?symbol=en%2FS%2FPV.5183,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,pdf?symbol=en%2FS%2FPV.6453,2010,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,3,57,1,18,1,0
96,pdf?symbol=en%2FS%2FPV.7923,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
97,pdf?symbol=en%2FS%2FPV.7593,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,pdf?symbol=en%2FS%2FPV.4527,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,pdf?symbol=en%2FS%2FPV.5309,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,pdf?symbol=en%2FS%2FPV.4129,2000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,90,0,0
101,pdf?symbol=en%2FS%2FPV.7811,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,pdf?symbol=en%2FS%2FPV.4628,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
103,pdf?symbol=en%2FS%2FPV.5154,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,pdf?symbol=en%2FS%2FPV.3473,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
105,pdf?symbol=en%2FS%2FPV.7635,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
106,pdf?symbol=en%2FS%2FPV.6668,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0
107,pdf?symbol=en%2FS%2FPV.8115,2017,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0,2,0,0
108,pdf?symbol=en%2FS%2FPV.5042,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,pdf?symbol=en%2FS%2FPV.5412,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
110,pdf?symbol=en%2FS%2FPV.7475,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0
111,pdf?symbol=en%2FS%2FPV.6902,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,pdf?symbol=en%2FS%2FPV.6840,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
113,pdf?symbol=en%2FS%2FPV.4231,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
114,pdf?symbol=en%2FS%2FPV.4313,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,pdf?symbol=en%2FS%2FPV.7471,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,pdf?symbol=en%2FS%2FPV.5922,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,4,0,0
117,pdf?symbol=en%2FS%2FPV.5437,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
118,pdf?symbol=en%2FS%2FPV.4759,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
119,pdf?symbol=en%2FS%2FPV.6915,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,pdf?symbol=en%2FS%2FPV.4742,2003,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
121,pdf?symbol=en%2FS%2FPV.8369,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122,pdf?symbol=en%2FS%2FPV.3335,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,pdf?symbol=en%2FS%2FPV.3856,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
124,pdf?symbol=en%2FS%2FPV.6120,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,pdf?symbol=en%2FS%2FPV.7282,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
126,pdf?symbol=en%2FS%2FPV.4117,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0
127,pdf?symbol=en%2FS%2FPV.4355,2001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,22,0,0
128,pdf?symbol=en%2FS%2FPV.4563,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,2,2
129,pdf?symbol=en%2FS%2FPV.3752,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
130,pdf?symbol=en%2FS%2FPV.4621,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,pdf?symbol=en%2FS%2FPV.6879,2012,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
132,pdf?symbol=en%2FS%2FPV.4682,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
133,pdf?symbol=en%2FS%2FPV.6602,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,pdf?symbol=en%2FS%2FPV.8229,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,0
135,pdf?symbol=en%2FS%2FPV.7355,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
136,pdf?symbol=en%2FS%2FPV.4857,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
137,pdf?symbol=en%2FS%2FPV.7694,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,1,0,0
138,pdf?symbol=en%2FS%2FPV.7795,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
139,pdf?symbol=en%2FS%2FPV.8678,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,pdf?symbol=en%2FS%2FPV.6855,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,pdf?symbol=en%2FS%2FPV.5286,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,pdf?symbol=en%2FS%2FPV.4093,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,pdf?symbol=en%2FS%2FPV.5838,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,pdf?symbol=en%2FS%2FPV.4223,2000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,141,3,0,0,0
145,pdf?symbol=en%2FS%2FPV.6552,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,0
146,pdf?symbol=en%2FS%2FPV.8256,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,pdf?symbol=en%2FS%2FPV.5926,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
148,pdf?symbol=en%2FS%2FPV.5231,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,pdf?symbol=en%2FS%2FPV.4323,2001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0
150,pdf?symbol=en%2FS%2FPV.5508,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,pdf?symbol=en%2FS%2FPV.4775,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
152,pdf?symbol=en%2FS%2FPV.6415,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,pdf?symbol=en%2FS%2FPV.8442,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
154,pdf?symbol=en%2FS%2FPV.6824,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,pdf?symbol=en%2FS%2FPV.3969,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,pdf?symbol=en%2FS%2FPV.4842,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
157,pdf?symbol=en%2FS%2FPV.4179,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
158,pdf?symbol=en%2FS%2FPV.5358,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,pdf?symbol=en%2FS%2FPV.7120,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,pdf?symbol=en%2FS%2FPV.4227,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
161,pdf?symbol=en%2FS%2FPV.7689,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,pdf?symbol=en%2FS%2FPV.6420,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,pdf?symbol=en%2FS%2FPV.4541,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
164,pdf?symbol=en%2FS%2FPV.5780,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,pdf?symbol=en%2FS%2FPV.3809,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
